css-175oi2r href,css-9pa8cd src,css-1jxf684,css-1jxf684 2,css-1jxf684 3,css-146c3p1,css-1jxf684 4,css-1jxf684 5,css-1jxf684 6,css-1jxf684 7,css-146c3p1 href,css-175oi2r href 4
https://x.com/shaikmukram,https://pbs.twimg.com/profile_images/1391281854204956674/N2oDMRx2_normal.jpg,Shaik Mukram | شیخ مکرم,@shaikmukram,·,14h,Then how would Israel benefit from US taxpayers money?,458,,,https://x.com/shaikmukram/status/2038786341253923028,https://x.com/shaikmukram/status/2038786341253923028/analytics
https://x.com/RealPrincessJas,https://pbs.twimg.com/profile_images/2000781393077600256/OMPhZN_m_normal.jpg,Eye of the Sun,@RealPrincessJas,·,16h,"Wait a minute!! This is coming from a a government which spends around $900 billion on the military while allocating only about $90 billion federally to education. 

It’s no surprise then the USA relies heavily on importing engineers and doctors from other countries—including",3.6K,2,23,https://x.com/RealPrincessJas/status/2038755864044318867,https://x.com/RealPrincessJas/status/2038755864044318867/analytics
https://x.com/rodwlatstetter,https://pbs.twimg.com/profile_images/2013759789117865985/-LkhDFZ1_normal.jpg,Rodney Latstetter,@rodwlatstetter,·,3h,"DOES YOUR BRAIN HEAR WHAT YOUR MOUTH SAYS? THE US DEBT IS $39,000,000,000,000 AND 99.99999999% IS SPENT ON",45,,,https://x.com/rodwlatstetter/status/2038944419999617146,https://x.com/rodwlatstetter/status/2038944419999617146/analytics
https://x.com/omgyallrhaterz,https://pbs.twimg.com/profile_images/1870135820499218432/n-K0Aoor_normal.jpg,G’sdon’tbreak,@omgyallrhaterz,·,15h,"Imagine if those spineless beta male cucks like Elon, Rubio, Ted Cruz etc didn’t stay on their knees swallowing Trump juice. Imagine if this fn child predator, convicted felon, sexual assaulting dumbass hadn’t stupidly gotten into this war with Iran & allowed Iran to call his",3.8K,2,9,https://x.com/omgyallrhaterz/status/2038775538500653293,https://x.com/omgyallrhaterz/status/2038775538500653293/analytics
https://x.com/brijoyce,https://pbs.twimg.com/profile_images/2031575516344627206/PEEwcXcn_normal.jpg,Brian Joyce,@brijoyce,·,17h,Iran's national debt is under 200bn the US's is 40 trillion and there are no cities in Iran that look like this,11K,19,120,https://x.com/brijoyce/status/2038740244757901767,https://x.com/brijoyce/status/2038740244757901767/analytics
https://x.com/bitcoinaioalert,https://pbs.twimg.com/profile_images/1993490348971077632/OZqwFctE_normal.jpg,BitcoinAioAlert,@bitcoinaioalert,·,16h,This was 6 years ago. We are over $1 Trillion in National Defense spending now. #2 highest spender is China at $297 Billion. We SPEND $2 Trillion more than we GENERATE per YEAR as a country (deficit). Citizens should be pissed!,1.4K,1,2,https://x.com/bitcoinaioalert/status/2038758822085292034,https://x.com/bitcoinaioalert/status/2038758822085292034/analytics
https://x.com/brijoyce,https://pbs.twimg.com/profile_images/2031575516344627206/PEEwcXcn_normal.jpg,Brian Joyce,@brijoyce,·,17h,Iran's national debt is under 200bn the US's is 40 trillion and there are no cities in Iran that look like this,11K,19,120,https://x.com/brijoyce/status/2038740244757901767,https://x.com/brijoyce/status/2038740244757901767/analytics
https://x.com/PkrBum,https://pbs.twimg.com/profile_images/1261788754655707137/zzTRL6lF_normal.jpg,PkrBum,@PkrBum,·,18h,"Iran is sponsoring terrorism.

It's not the same.",1.4K,45,1,https://x.com/PkrBum/status/2038729777159475435,https://x.com/PkrBum/status/2038729777159475435/analytics
https://x.com/AuntieFah420,https://pbs.twimg.com/profile_images/2016130424398114816/RUCVqTNp_normal.jpg,LA,@AuntieFah420,·,14h,,1.9K,4,25,https://x.com/AuntieFah420/status/2038782910808101063,https://x.com/AuntieFah420/status/2038782910808101063/analytics
https://x.com/burns195593,https://pbs.twimg.com/profile_images/1873311721902796800/0BCxlsdB_normal.jpg,BUNNY,@burns195593,·,11h,"For fuck sake 
How much more of this pish do we need to listen to
What happened to journalism",5,,,https://x.com/burns195593/status/2038837219880747057,https://x.com/burns195593/status/2038837219880747057/analytics
